agent_id, n_trial, n_agents, iters, cost
2,None,3,1,128.3406855020753,
1,None,3,1,1008.6223894621261,
0,None,3,1,977.3148314185453,
0,None,3,2,1071.140756557034,
1,None,3,2,1151.1013762502907,
2,None,3,2,219.4931953009277,
1,None,3,3,1283.1045744121348,
2,None,3,3,300.87893062772383,
0,None,3,3,1158.2078364356676,
1,None,3,4,1386.820017559705,
0,None,3,4,1226.6509344606459,
2,None,3,4,362.53211311663847,
1,None,3,5,1462.6475185767436,
0,None,3,5,1276.7235077846176,
2,None,3,5,407.2138283729696,
1,None,3,6,1516.0462379792211,
2,None,3,6,438.3640625758589,
0,None,3,6,1312.0037117256259,
1,None,3,7,1552.8522617621602,
0,None,3,7,1336.33128241959,
2,None,3,7,459.2865508999528,
0,None,3,8,1352.8899341159824,
1,None,3,8,1577.8962037647016,
2,None,3,8,473.0588797094898,
0,None,3,9,1364.0702480331595,
1,None,3,9,1594.8013296482172,
2,None,3,9,482.17729227272974,
1,None,3,10,1606.1554927677175,
2,None,3,10,488.23297508503924,
0,None,3,10,1371.5809600582863,
1,None,3,11,1613.7572498460918,
0,None,3,11,1376.6103114441169,
2,None,3,11,492.2606175730436,
0,None,3,12,1379.9712218472732,
1,None,3,12,1618.8365236741183,
2,None,3,12,494.9411650398258,
1,None,3,13,1622.2260707354862,
0,None,3,13,1382.21428977083,
2,None,3,13,496.72562503413513,
1,None,3,14,1624.486243711539,
0,None,3,14,1383.7101060620578,
2,None,3,14,497.91364537687963,
1,None,3,15,1625.9926245206602,
0,None,3,15,1384.7071157006085,
2,None,3,15,498.7045895071534,
1,None,3,16,1626.9963293445342,
0,None,3,16,1385.3714585008615,
2,None,3,16,499.23117138400335,
0,None,3,17,1385.8140591266567,
1,None,3,17,1627.6649954921706,
2,None,3,17,499.58175090256333,
0,None,3,18,1386.1089039650215,
2,None,3,18,499.81515734255936,
1,None,3,18,1628.1104245831607,
2,None,3,1,103.31061749477081,
1,None,3,1,830.823567201729,
0,None,3,1,805.6082940766261,
1,None,3,2,965.0651113173335,
2,None,3,2,193.05668778294208,
0,None,3,2,898.0576309174533,
0,None,3,3,984.1921334861652,
1,None,3,3,1089.9055947141594,
2,None,3,3,272.0254410203703,
2,None,3,4,331.6985061829842,
1,None,3,4,1188.315437950617,
0,None,3,4,1052.1826855285951,
1,None,3,5,1260.4641145456042,
0,None,3,5,1102.079312482464,
2,None,3,5,374.11314020139275,
1,None,3,6,1311.3818892000047,
2,None,3,6,403.0019720650737,
0,None,3,6,1137.3191663468504,
0,None,3,7,1161.6638224638564,
1,None,3,7,1346.5376809594727,
2,None,3,7,422.49791891079883,
0,None,3,8,1178.25836152053,
1,None,3,8,1370.4914899434584,
2,None,3,8,435.58792723710934,
2,None,3,9,444.3493594649473,
1,None,3,9,1386.6788332353813,
0,None,3,9,1189.476139287575,
1,None,3,10,1397.5609955609207,
0,None,3,10,1197.0193197837452,
2,None,3,10,450.2018683407003,
1,None,3,11,1404.85243826954,
2,None,3,11,454.10621412175766,
0,None,3,11,1202.0744908004685,
1,None,3,12,1409.7276218218087,
2,None,3,12,456.7087249499359,
0,None,3,12,1205.4549608650877,
1,None,3,13,1412.9828521787595,
2,None,3,13,458.44255723235847,
0,None,3,13,1207.7124020860858,
1,None,3,14,1415.1545589547554,
2,None,3,14,459.59728397654305,
0,None,3,14,1209.218567216035,
0,None,3,15,1210.2229220613576,
1,None,3,15,1416.602625538499,
2,None,3,15,460.3661776311403,
1,None,3,16,1417.5678615778972,
2,None,3,16,460.8781086742705,
0,None,3,16,1210.8924241547184,
1,None,3,17,1418.211132350299,
0,None,3,17,1211.3386205449413,
2,None,3,17,461.2189359672922,
1,None,3,18,1418.639785624128,
2,None,3,18,461.44584563586596,
0,None,3,18,1211.6359565398234,
