agent_id, n_trial, n_agents, iters, cost
0,None,3,1,1277.3934318727822,
1,None,3,1,1142.6636662356318,
2,None,3,1,106.4651793871282,
0,None,3,2,1336.271644978046,
1,None,3,2,1228.8910744075586,
2,None,3,2,150.99941305513767,
0,None,3,3,1389.061127264906,
1,None,3,3,1305.3129461750586,
2,None,3,3,192.25492319062536,
0,None,3,4,1428.4574179775382,
1,None,3,4,1364.1555283795628,
2,None,3,4,224.02421966647034,
0,None,3,5,1456.066073878564,
1,None,3,5,1406.871786577824,
2,None,3,5,246.74865833535884,
0,None,3,6,1475.621409579419,
1,None,3,6,1436.8377033968416,
2,None,3,6,262.5337200306553,
0,None,3,7,1487.9256157417658,
1,None,3,7,1457.3944986193583,
2,None,3,7,273.3174093126319,
0,None,3,8,1497.219646212176,
1,None,3,8,1471.3406856237173,
2,None,3,8,280.61242479956513,
0,None,3,9,1502.695506983532,
1,None,3,9,1480.7652156730132,
2,None,3,9,285.51595465624195,
0,None,3,10,1506.6488916780218,
2,None,3,10,288.801489468611,
1,None,3,10,1487.10458034249,
0,None,3,11,1509.3514318626594,
2,None,3,11,290.9976685954276,
1,None,3,11,1491.354271405296,
0,None,3,12,1511.1721475868949,
1,None,3,12,1494.1965478323787,
2,None,3,12,292.4634737092824,
0,None,3,13,1512.390360471853,
1,None,3,13,1496.0943036074223,
2,None,3,13,293.44065154726684,
2,None,3,14,294.09174342091256,
0,None,3,14,1513.2027842072646,
1,None,3,14,1497.3606370524426,
0,None,3,15,1513.7436983708658,
1,None,3,15,1498.2045951464129,
2,None,3,15,294.52558170525964,
0,None,3,16,1514.1035529284716,
1,None,3,16,1498.7669004770066,
2,None,3,16,294.814603046706,
1,None,3,17,1499.141781675371,
0,None,3,17,1514.3428547812905,
2,None,3,17,295.0071297829988,
0,None,3,18,1514.5019881686667,
1,None,3,18,1499.391650156762,
2,None,3,18,295.1353740727036,
1,None,3,1,911.0849245393795,
0,None,3,1,1104.0765664064654,
2,None,3,1,81.87749630235567,
0,None,3,2,1188.3694951998089,
1,None,3,2,1000.8059697011055,
2,None,3,2,126.27142445385454,
0,None,3,3,1266.1266709582594,
1,None,3,3,1084.488182243364,
2,None,3,3,166.5983052876365,
1,None,3,4,1145.88427301619,
