agent_id, n_trial, n_agents, iters, cost
2,None,3,1,102.932679374608,
1,None,3,1,1140.5336662356317,
0,None,3,1,1273.7009318727821,
2,None,3,2,149.50246697229335,
1,None,3,2,1231.2899563005024,
0,None,3,2,1334.3302542442254,
1,None,3,3,1311.989101764441,
2,None,3,3,192.6804435510627,
0,None,3,3,1388.7735601159982,
1,None,3,4,1374.2423199316922,
0,None,3,4,1429.4885847547814,
2,None,3,4,225.98268710850095,
2,None,3,5,249.8407801602595,
1,None,3,5,1419.480834564722,
0,None,3,5,1458.0724780922087,
2,None,3,6,266.4312511246643,
1,None,3,6,1451.2387004660723,
0,None,3,6,1478.3206766233586,
2,None,3,7,277.77394173998175,
1,None,3,7,1473.0392163173497,
0,None,3,7,1491.1057706040892,
0,None,3,8,1500.728821903217,
1,None,3,8,1487.8363684086385,
2,None,3,8,285.45143011542444,
0,None,3,9,1506.4277802472534,
2,None,3,9,290.61429937222135,
1,None,3,9,1497.8379063274251,
0,None,3,10,1510.5315614876058,
2,None,3,10,294.074663766392,
1,None,3,10,1504.566254112969,
0,None,3,11,1513.3351054334053,
1,None,3,11,1509.0771843248403,
2,None,3,11,296.38825640057473,
0,None,3,12,1515.2234849950987,
2,None,3,12,297.9327193734166,
1,None,3,12,1512.0944731021416,
0,None,3,13,1516.4869522509437,
1,None,3,13,1514.109283805065,
2,None,3,13,298.9625052756633,
1,None,3,14,1515.4538236191388,
2,None,3,14,299.6487444286791,
0,None,3,14,1517.3296094461234,
0,None,3,15,1517.8907070092828,
1,None,3,15,1516.3499956543674,
2,None,3,15,300.1060473666205,
0,None,3,16,1518.2640288734394,
2,None,3,16,300.4107262799818,
1,None,3,16,1516.9471451285222,
1,None,3,17,1517.3452721114927,
0,None,3,17,1518.512313505126,
2,None,3,17,300.6136975706693,
1,None,3,18,1517.6106459594353,
2,None,3,18,300.7489073818466,
0,None,3,18,1518.6774368112196,
0,None,3,1,1100.348380643717,
2,None,3,1,78.29618083258151,
1,None,3,1,908.9165889925276,
0,None,3,2,1186.439404837926,
2,None,3,2,124.74701592257313,
1,None,3,2,1003.2063806206131,
0,None,3,3,1265.8945398245828,
2,None,3,3,167.01653044611385,
1,None,3,3,1091.2035156726056,
0,None,3,4,1324.9863764773988,
2,None,3,4,199.68751135382365,
1,None,3,4,1156.0402629062778,
0,None,3,5,1366.39473536315,
1,None,3,5,1204.0882144740633,
2,None,3,5,223.15847694183228,
0,None,3,6,1395.6268359203618,
2,None,3,6,239.4653210292646,
1,None,3,6,1238.006549121383,
1,None,3,7,1261.8077591708843,
2,None,3,7,250.65225158604636,
0,None,3,7,1415.5813823925614,
0,None,3,8,1429.027809260102,
1,None,3,8,1277.7235494584477,
2,None,3,8,258.2319180784565,
0,None,3,9,1438.0501640620341,
2,None,3,9,262.4825851863006,
1,None,3,9,1288.5268930890416,
2,None,3,10,267.43507588915827,
1,None,3,10,1295.7943125506254,
0,None,3,10,1444.0848336333638,
2,None,3,11,268.6144577381818,
0,None,3,11,1448.1143440027722,
1,None,3,11,1301.6178851898762,
2,None,3,12,270.75585147136053,
1,None,3,12,1304.6046411457805,
0,None,3,12,1450.8025433567673,
2,None,3,13,272.070073559526,
0,None,3,13,1445.1428956971072,
1,None,3,13,1306.630145201616,
0,None,3,14,1446.3774024996776,
1,None,3,14,1307.997590441085,
2,None,3,14,272.8893254690919,
0,None,3,15,1447.2883503119374,
1,None,3,15,1308.9178102099077,
2,None,3,15,273.40815089288674,
1,None,3,16,1309.5356664365195,
0,None,3,16,1447.908175180404,
2,None,3,16,273.7411014799017,
0,None,3,17,1448.3155800538113,
1,None,3,17,1309.9497975069876,
2,None,3,17,273.9569350622149,
0,None,3,18,1448.5820178940019,
2,None,3,18,274.0978993711338,
1,None,3,18,1310.2270001805714,
0,None,3,1,940.5105237651493,
2,None,3,1,60.937666594124934,
1,None,3,1,688.2590107516207,
0,None,3,2,1023.0945480858715,
2,None,3,2,106.327689199046,
1,None,3,2,763.6658004790047,
0,None,3,3,1100.8814569017188,
1,None,3,3,832.3100451511388,
2,None,3,3,147.79200161137703,
0,None,3,4,1160.5680057814416,
1,None,3,4,886.1494118220457,
2,None,3,4,178.75706762491424,
0,None,3,5,1204.0833713355632,
1,None,3,5,925.4279598718233,
2,None,3,5,200.97228566178512,
0,None,3,6,1234.7486581755966,
2,None,3,6,216.4085153213253,
1,None,3,6,953.058045975546,
0,None,3,7,1255.9284121372689,
2,None,3,7,226.9368198801585,
1,None,3,7,972.0833020552568,
0,None,3,8,1270.3736271160828,
2,None,3,8,234.0562329073092,
1,None,3,8,985.0131475833434,
2,None,3,9,238.826540265764,
0,None,3,9,1280.1469806472521,
1,None,3,9,993.7286867291398,
0,None,3,10,1286.7243943073595,
1,None,3,10,999.5731938117867,
2,None,3,10,242.0221271338104,
0,None,3,11,1291.136066249955,
1,None,3,11,1003.47957833346,
2,None,3,11,244.1632623462837,
0,None,3,12,1294.0880557676335,
1,None,3,12,1006.0851549467301,
2,None,3,12,245.58747339430852,
0,None,3,13,1296.06064535834,
1,None,3,13,1007.8208589982972,
2,None,3,13,246.53105746699015,
1,None,3,14,1008.9762037779615,
2,None,3,14,246.9125051780969,
0,None,3,14,1297.3774651551134,
0,None,3,15,1298.2559437562122,
1,None,3,15,1009.7449003798622,
2,None,3,15,248.1174211519374,
0,None,3,16,1298.841752367949,
2,None,3,16,247.9109023088816,
1,None,3,16,1010.2562268885672,
0,None,3,1,744.7716119728426,
2,None,3,1,50.376150340736594,
1,None,3,1,507.541543733302,
1,None,3,2,572.4542937086441,
0,None,3,2,828.0860495350476,
2,None,3,2,92.72198428670464,
0,None,3,3,904.2948631877955,
1,None,3,3,632.4031276058622,
2,None,3,3,131.11753661129603,
0,None,3,4,962.5851034100201,
1,None,3,4,679.5812714734668,
2,None,3,4,160.69892365948564,
0,None,3,5,1004.2019621041726,
1,None,3,5,714.1847326599387,
2,None,3,5,181.9071179806675,
1,None,3,6,738.6353947527525,
2,None,3,6,196.59210539966872,
0,None,3,6,1033.1483499041005,
1,None,3,7,755.5411442616887,
0,None,3,7,1053.0001268539513,
2,None,3,7,207.34400090876855,
0,None,3,8,1066.946152539365,
1,None,3,8,767.0762119937314,
2,None,3,8,212.4973137476909,
0,None,3,9,1075.988304560767,
1,None,3,9,774.8815862631079,
2,None,3,9,216.02288824265793,
1,None,3,10,780.1350172657848,
2,None,3,10,218.41285180219444,
0,None,3,10,1082.3915502110124,
0,None,3,11,1086.7207109695905,
1,None,3,11,783.6587222148768,
2,None,3,11,220.02441194830573,
0,None,3,12,1089.0994306177836,
1,None,3,12,786.0170741293264,
2,None,3,12,221.10757546908738,
1,None,3,13,787.5931457162449,
0,None,3,13,1091.1534975318862,
2,None,3,13,221.8340871516786,
2,None,3,14,222.32071084183113,
1,None,3,14,788.6454160520107,
0,None,3,14,1092.5600863260102,
1,None,3,15,789.3475138124234,
2,None,3,15,222.64634529806344,
0,None,3,15,1092.9716331503405,
0,None,3,16,1093.7475537042033,
2,None,3,16,222.86410132338898,
1,None,3,16,789.8157773452995,
2,None,3,17,223.0096431886887,
0,None,3,17,1094.2879448515475,
