agent_id, n_trial, n_agents, iters, cost
0,None,3,1,977.3148314185453,
2,None,3,1,128.3406855020753,
1,None,3,1,1008.6223894621261,
2,None,3,2,219.4931953009277,
0,None,3,2,1071.140756557034,
1,None,3,2,1151.1013762502907,
1,None,3,3,1283.1045744121348,
0,None,3,3,1158.2078364356676,
2,None,3,3,300.87893062772383,
1,None,3,4,1386.820017559705,
0,None,3,4,1226.6509344606459,
2,None,3,4,362.53211311663847,
1,None,3,5,1462.6475185767436,
2,None,3,5,407.2138283729696,
0,None,3,5,1276.7235077846176,
0,None,3,6,1312.0037117256259,
1,None,3,6,1516.0462379792211,
2,None,3,6,438.3640625758589,
1,None,3,7,1552.8522617621602,
0,None,3,7,1336.33128241959,
2,None,3,7,459.2865508999528,
1,None,3,8,1577.8962037647016,
2,None,3,8,473.0588797094898,
0,None,3,8,1352.8899341159824,
0,None,3,9,1364.0702480331595,
1,None,3,9,1594.8013296482172,
2,None,3,9,482.17729227272974,
0,None,3,10,1371.5809600582863,
1,None,3,10,1606.1554927677175,
2,None,3,10,488.23297508503924,
1,None,3,11,1613.7572498460918,
0,None,3,11,1376.6103114441169,
2,None,3,11,492.2606175730436,
1,None,3,12,1618.8365236741183,
0,None,3,12,1379.9712218472732,
2,None,3,12,494.9411650398258,
0,None,3,13,1382.21428977083,
2,None,3,13,496.72562503413513,
1,None,3,13,1622.2260707354862,
0,None,3,14,1383.7101060620578,
1,None,3,14,1624.486243711539,
2,None,3,14,497.91364537687963,
0,None,3,15,1384.7071157006085,
1,None,3,15,1625.9926245206602,
2,None,3,15,498.7045895071534,
0,None,3,16,1385.3714585008615,
1,None,3,16,1626.9963293445342,
2,None,3,16,499.23117138400335,
0,None,3,17,1385.8140591266567,
1,None,3,17,1627.6649954921706,
2,None,3,17,499.58175090256333,
1,None,3,18,1628.1104245831607,
0,None,3,18,1386.1089039650215,
2,None,3,18,499.81515734255936,
0,None,3,1,805.6082940766261,
2,None,3,1,103.31061749477081,
1,None,3,1,830.823567201729,
0,None,3,2,898.0576309174533,
1,None,3,2,965.0651113173335,
2,None,3,2,193.05668778294208,
1,None,3,3,1089.9055947141594,
0,None,3,3,984.1921334861652,
2,None,3,3,272.0254410203703,
0,None,3,4,1052.1826855285951,
1,None,3,4,1188.315437950617,
2,None,3,4,331.6985061829842,
1,None,3,5,1260.4641145456042,
0,None,3,5,1102.079312482464,
2,None,3,5,374.11314020139275,
1,None,3,6,1311.3818892000047,
0,None,3,6,1137.3191663468504,
2,None,3,6,403.0019720650737,
1,None,3,7,1346.5376809594727,
0,None,3,7,1161.6638224638564,
2,None,3,7,422.49791891079883,
1,None,3,8,1370.4914899434584,
0,None,3,8,1178.25836152053,
2,None,3,8,435.58792723710934,
