agent_id, n_trial, n_agents, iters, cost
1,None,3,1,968.0422681656275,
0,None,3,1,950.6243974512271,
2,None,3,1,102.07719606015942,
0,None,3,2,998.3710735960148,
1,None,3,2,1040.6734796987248,
2,None,3,2,149.44493791000727,
1,None,3,3,1108.3653168036797,
0,None,3,3,1042.9178713346928,
2,None,3,3,192.58823340673308,
0,None,3,4,1078.0846322455836,
1,None,3,4,1161.7423302028724,
2,None,3,4,226.55340628021986,
1,None,3,5,1200.8488290750265,
2,None,3,5,251.5072605846252,
0,None,3,5,1103.873653031355,
2,None,3,6,268.95207277505114,
1,None,3,6,1228.412345819836,
0,None,3,6,1122.0649407325195,
1,None,3,7,1247.412723239299,
0,None,3,7,1134.6132063658183,
2,None,3,7,280.8268828670532,
0,None,3,8,1143.1528985352256,
2,None,3,8,288.86933875920334,
1,None,3,8,1260.3358763002113,
0,None,3,9,1148.9161108867659,
2,None,3,9,294.28829954977687,
1,None,3,9,1269.0529608122756,
0,None,3,10,1152.7851125459863,
1,None,3,10,1274.9023895106684,
2,None,3,10,297.92469069115964,
2,None,3,11,300.35774433312173,
0,None,3,11,1155.3738400237687,
1,None,3,11,1278.814689319449,
1,None,3,12,1281.425999951816,
0,None,3,12,1157.102310518813,
2,None,3,12,301.98228203814256,
1,None,3,13,1283.1667375171944,
0,None,3,13,1158.2548847905098,
2,None,3,13,303.04517168030986,
1,None,3,14,1284.3262509934027,
0,None,3,14,1159.0228273491136,
2,None,3,14,303.7408797486996,
1,None,3,15,1285.098268728062,
2,None,3,15,304.1999633836579,
0,None,3,15,1159.5342552998707,
0,None,3,16,1159.874763904501,
2,None,3,16,304.50422141037996,
1,None,3,16,1285.6121682517833,
0,None,3,17,1160.1014465645833,
1,None,3,17,1285.9542154097528,
2,None,3,17,304.7063354001795,
0,None,3,18,1160.2523475096443,
1,None,3,18,1286.1818752023842,
2,None,3,18,304.8407621012115,
0,None,3,1,779.1179276155817,
1,None,3,1,792.2356362441966,
2,None,3,1,76.93878874980271,
0,None,3,2,825.8037462484037,
1,None,3,2,860.0894339508795,
2,None,3,2,124.19314607244434,
1,None,3,3,923.5245389534784,
0,None,3,3,869.5032963871046,
2,None,3,3,167.2504254610385,
1,None,3,4,973.6867388902876,
0,None,3,4,904.0943685491363,
2,None,3,4,200.27480674093124,
1,None,3,5,1010.52544177921,
0,None,3,5,929.5191869503725,
2,None,3,5,224.06403920593,
0,None,3,6,947.4887720774831,
2,None,3,6,240.72977415458757,
1,None,3,6,1036.5436086529362,
0,None,3,7,959.9052427450728,
2,None,3,7,252.19785723216023,
1,None,3,7,1054.5106031127207,
1,None,3,8,1066.7499813706115,
2,None,3,8,259.8583436061251,
0,None,3,8,968.3678856523237,
1,None,3,9,1075.0172684202207,
2,None,3,9,264.9607066126629,
0,None,3,9,974.0866609074975,
1,None,3,10,1080.571731508025,
2,None,3,10,268.3602435509554,
0,None,3,10,977.9303668204648,
0,None,3,11,980.504899966556,
2,None,3,11,270.6254343535689,
1,None,3,11,1084.2908806644068,
0,None,3,12,982.2255410396092,
2,None,3,12,272.1347343557344,
1,None,3,12,1086.7757675414268,
1,None,3,13,1088.4337427018454,
2,None,3,13,273.14030544467516,
0,None,3,13,983.3738927502201,
1,None,3,14,1089.5390478975896,
2,None,3,14,273.81021461603405,
0,None,3,14,984.1396283822205,
1,None,3,15,1090.2755340718288,
0,None,3,15,984.6499561146355,
2,None,3,15,274.256479055711,
0,None,3,16,984.9899579324182,
1,None,3,16,1090.7661245896677,
2,None,3,16,274.5537492015008,
0,None,3,17,985.2164414523147,
1,None,3,17,1091.0928675244318,
2,None,3,17,274.7517659388558,
0,None,3,18,985.3672946836764,
1,None,3,18,1091.3104701211141,
2,None,3,18,274.8836679638327,
2,None,3,1,60.48418384292658,
1,None,3,1,635.5108968900923,
0,None,3,1,626.1398359005784,
0,None,3,2,673.2149918747515,
1,None,3,2,700.1545561772518,
2,None,3,2,106.53152801754334,
2,None,3,3,147.7101025408238,
1,None,3,3,760.6328246751857,
0,None,3,3,717.2875441859104,
2,None,3,4,179.49874260294803,
1,None,3,4,808.4885216385871,
0,None,3,4,752.1819725009191,
1,None,3,5,843.6555890432186,
0,None,3,5,777.8370982942972,
2,None,3,5,202.17857327255538,
1,None,3,6,868.5081573007676,
0,None,3,6,795.9752937370993,
2,None,3,6,217.78276983860795,
0,None,3,7,808.5125338776044,
2,None,3,7,228.3564144429321,
1,None,3,7,885.6801058980154,
2,None,3,8,235.4604817986583,
0,None,3,8,817.0604531637771,
1,None,3,8,897.3842424401779,
0,None,3,9,822.8388542851176,
2,None,3,9,240.21032976401654,
1,None,3,9,905.2940411889883,
2,None,3,10,243.3773934426714,
1,None,3,10,910.6108861533219,
0,None,3,10,826.7239590599321,
2,None,3,11,245.4859072677892,
1,None,3,11,914.172549145057,
0,None,3,11,829.327086655306,
2,None,3,12,246.88858199495107,
1,None,3,12,916.5532329152113,
0,None,3,12,831.0673995698324,
0,None,3,13,832.2292421649556,
1,None,3,13,918.1423218066735,
2,None,3,13,247.82137616405166,
2,None,3,14,248.44163188290582,
0,None,3,14,833.0042060629896,
1,None,3,14,919.2021056827562,
0,None,3,15,833.5208326783269,
2,None,3,15,248.8540819807022,
1,None,3,15,919.9085127373658,
2,None,3,16,249.12837649727106,
1,None,3,16,920.3792253670752,
0,None,3,16,833.8651259254325,
2,None,3,17,249.31081763293136,
0,None,3,17,834.0945284479101,
1,None,3,17,920.692828664241,
0,None,3,18,834.2473642950224,
2,None,3,18,249.4321819444343,
1,None,3,18,920.901742944556,
0,None,3,1,492.41427840562176,
1,None,3,1,498.47914915950724,
2,None,3,1,49.81505736017188,
2,None,3,2,92.71822223781139,
0,None,3,2,540.2869104122465,
1,None,3,2,560.1967522522585,
1,None,3,3,618.1740039999136,
2,None,3,3,131.33302416385186,
0,None,3,3,585.2983362019539,
0,None,3,4,621.0587204982692,
2,None,3,4,161.02741834549013,
1,None,3,4,664.2018532819507,
1,None,3,5,698.1163978652357,
0,None,3,5,647.4237954526841,
2,None,3,5,182.3359589510987,
1,None,3,6,722.1367668716271,
2,None,3,6,197.07788884493806,
0,None,3,6,666.1065624335577,
0,None,3,7,679.0447639992591,
2,None,3,7,207.08389419190652,
1,None,3,7,738.7643085819053,
0,None,3,8,687.8801669517748,
1,None,3,8,750.1150300968168,
2,None,3,8,213.80243800127215,
0,None,3,9,693.8610243118779,
2,None,3,9,218.28579723803912,
1,None,3,9,757.7961727627776,
0,None,3,10,697.8869380133519,
2,None,3,10,221.26718162905726,
1,None,3,10,762.9652191462246,
1,None,3,11,766.4313052472326,
0,None,3,11,700.5871289558354,
2,None,3,11,223.24607018436552,
0,None,3,12,702.3939147305389,
2,None,3,12,224.55838684519688,
1,None,3,12,768.7501055760781,
0,None,3,13,703.6010586219116,
1,None,3,13,770.2990603155355,
2,None,3,13,225.42840106623717,
1,None,3,14,771.3327670759077,
0,None,3,14,704.4067802691966,
2,None,3,14,226.00521368958553,
0,None,3,15,704.9442294675655,
2,None,3,15,226.3877293438727,
1,None,3,15,772.0221980672724,
1,None,3,16,772.4818384515785,
0,None,3,16,705.3025868374077,
2,None,3,16,226.6414837868801,
2,None,3,17,226.80988550106335,
1,None,3,17,772.7882070092493,
0,None,3,17,705.5414710055156,
0,None,3,18,705.7006894260774,
1,None,3,18,772.9923859283474,
2,None,3,18,226.92168780111675,
1,None,3,1,383.7047096045674,
0,None,3,1,380.5301497403148,
2,None,3,1,42.718039507808015,
2,None,3,2,83.03807456222698,
1,None,3,2,442.04215075720333,
0,None,3,2,428.8958232737615,
0,None,3,3,474.413658802209,
2,None,3,3,119.96409180303002,
1,None,3,3,496.9141612470288,
0,None,3,4,510.6042621325148,
2,None,3,4,148.69451548130468,
1,None,3,4,540.5222960534179,
2,None,3,5,169.49298266267854,
0,None,3,5,537.3037873659857,
1,None,3,5,572.6819244321488,
0,None,3,6,556.2339708667929,
2,None,3,6,183.99335213718786,
1,None,3,6,595.4761267530018,
1,None,3,7,611.2648184164934,
2,None,3,7,193.89423287343672,
0,None,3,7,569.3497316447392,
0,None,3,8,578.3100818229783,
1,None,3,8,622.0487632652691,
2,None,3,8,200.57252528128612,
0,None,3,9,584.3777158368124,
1,None,3,9,629.3498231268921,
2,None,3,9,205.0444223667036,
1,None,3,10,634.2651384755156,
0,None,3,10,588.46335054806,
2,None,3,10,208.02588617971628,
0,None,3,11,591.204378514231,
2,None,3,11,210.00861011700857,
1,None,3,11,637.5623003481331,
0,None,3,12,593.0389583199504,
2,None,3,12,211.32528379689086,
1,None,3,12,639.7688137406063,
1,None,3,13,641.2431921526916,
0,None,3,13,594.2649535286547,
2,None,3,13,212.19902535815595,
0,None,3,14,595.0834274065312,
2,None,3,14,212.77867748889452,
1,None,3,14,642.2273877252713,
1,None,3,15,642.8839517995834,
0,None,3,15,595.6294853481245,
2,None,3,15,213.1632238219891,
0,None,3,16,595.9936448217061,
2,None,3,16,213.41837447918059,
1,None,3,16,643.3217727945812,
0,None,3,17,596.2364343164088,
2,None,3,17,213.58771118546161,
1,None,3,17,643.6136537006782,
0,None,3,18,596.3982784999478,
2,None,3,18,213.7001282146458,
1,None,3,18,643.8082109812844,
1,None,3,1,287.9814009613971,
0,None,3,1,287.41548605026594,
2,None,3,1,37.50120593127759,
1,None,3,2,343.46808064238024,
2,None,3,2,76.63724948906649,
0,None,3,2,336.76704169286677,
1,None,3,3,395.63506113493963,
2,None,3,3,112.84131464281685,
0,None,3,3,383.2149150830557,
0,None,3,4,420.14662958040026,
2,None,3,4,141.21730502488523,
1,None,3,4,437.0784757085684,
2,None,3,5,161.90055926509464,
0,None,3,5,447.394293849067,
1,None,3,5,467.63321511801803,
0,None,3,6,466.7141906115719,
1,None,3,6,489.28530840112086,
2,None,3,6,176.4154304085505,
0,None,3,7,480.1007466323918,
2,None,3,7,186.38383737650116,
1,None,3,7,504.280467408185,
1,None,3,8,514.5211369774904,
2,None,3,8,193.1422404199853,
0,None,3,8,489.2466405535913,
0,None,3,9,495.44028512647617,
1,None,3,9,521.4537169786084,
2,None,3,9,197.6884228098096,
2,None,3,10,200.7317332563901,
1,None,3,10,526.1206159094689,
0,None,3,10,499.6110122624518,
0,None,3,11,502.40928780673596,
2,None,3,11,202.76294564040467,
1,None,3,11,529.2509665962491,
0,None,3,12,504.28228743796393,
1,None,3,12,531.3457597113063,
2,None,3,12,204.11622168106908,
1,None,3,13,532.7454447231619,
0,None,3,13,505.5340246264446,
2,None,3,13,205.0168899835447,
0,None,3,14,506.36972708033,
1,None,3,14,533.6797601582879,
2,None,3,14,205.61598787884887,
0,None,3,15,506.9273070864648,
2,None,3,15,206.01438490013624,
1,None,3,15,534.3030402168376,
1,None,3,16,534.718662972916,
2,None,3,16,206.27929681945312,
0,None,3,16,507.2991682343007,
1,None,3,17,534.9957442306235,
0,None,3,17,507.54710385234944,
2,None,3,17,206.4554554369974,
0,None,3,18,507.71238566726527,
1,None,3,18,535.1804367806503,
2,None,3,18,206.57260817585586,
1,None,3,1,210.54419829815592,
0,None,3,1,212.18476536980677,
2,None,3,1,33.46653291254657,
2,None,3,2,72.06393538155584,
0,None,3,2,262.91633459608266,
1,None,3,2,263.3086565852673,
0,None,3,3,310.7124155633902,
1,None,3,3,313.01277507445724,
2,None,3,3,108.0213339513577,
1,None,3,4,352.5618885672835,
0,None,3,4,348.7476296261017,
2,None,3,4,136.37034164786266,
1,None,3,5,381.7575261541256,
0,None,3,5,376.82827334490116,
2,None,3,5,157.1373282019733,
0,None,3,6,396.74974427832797,
1,None,3,6,402.46843550145377,
2,None,3,6,171.77337381198888,
1,None,3,7,416.82443883308616,
0,None,3,7,410.5594242745656,
2,None,3,7,181.8621616110752,
1,None,3,8,426.63589806490893,
0,None,3,8,419.9980163303256,
2,None,3,8,188.72418902946507,
1,None,3,9,433.28211505333843,
0,None,3,9,426.3919528805623,
2,None,3,9,193.35309787784544,
0,None,3,10,430.698749471808,
2,None,3,10,196.45949955114486,
1,None,3,10,437.7586630026883,
1,None,3,11,440.7627381568685,
0,None,3,11,433.58900988453945,
2,None,3,11,198.53739796999238,
2,None,3,12,199.92449962734105,
1,None,3,12,442.7738441760854,
0,None,3,12,435.52397948815644,
0,None,3,13,436.81736422875395,
2,None,3,13,200.84930174937236,
1,None,3,13,444.11808602026395,
1,None,3,14,445.0156691109572,
0,None,3,14,437.68100790839645,
2,None,3,14,201.4654201203398,
1,None,3,15,445.61460664138866,
0,None,3,15,438.25730971360645,
2,None,3,15,201.87571359679342,
1,None,3,16,446.01409150734264,
0,None,3,16,438.64170332717185,
2,None,3,16,202.14888160831276,
0,None,3,17,438.8980221756193,
1,None,3,17,446.2804694970465,
2,None,3,17,202.33073713006897,
1,None,3,18,446.45806002662397,
0,None,3,18,439.06890857104827,
2,None,3,18,202.45180242423842,
1,None,3,1,150.90776142188193,
0,None,3,1,154.55072367437563,
2,None,3,1,30.327283348685185,
0,None,3,2,206.19316948315173,
1,None,3,2,200.70053328952005,
2,None,3,2,68.6955149174678,
0,None,3,3,254.85921949384297,
1,None,3,3,247.561223699824,
2,None,3,3,104.6020301357064,
0,None,3,4,293.5943555631244,
1,None,3,4,284.81832907998336,
2,None,3,4,133.01789852199627,
1,None,3,5,312.30377064406423,
0,None,3,5,322.19640620353636,
2,None,3,5,153.8999730490183,
0,None,3,6,342.4900508276791,
1,None,3,6,331.79063193435326,
2,None,3,6,168.6568123722088,
2,None,3,7,178.8523715836691,
0,None,3,7,356.51916661873884,
1,None,3,7,345.29177972708965,
0,None,3,8,366.06628774554224,
2,None,3,8,185.80087808722206,
1,None,3,8,354.515222188753,
0,None,3,9,372.5258824245051,
1,None,3,9,360.751653461766,
